Data,Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Motivo,Resolvido ? ,Como ?
2025-07-24,23937,Motor de funçao vibratoria para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"300,00",2,2.0,OK,,,
2025-07-24,23939,Alto-falante Caixa de som para iPhone XS Max,Manutenção Speaker,M. iPhone XS Max,"300,00",2,1.0,DIVERGENTE,Falta-07605852,Sim,
2025-07-24,25370,Flex Sensor / Alto falante - iPhone XS Max,Manutenção Flex do Sensor,M. iPhone XS Max,"500,00",2,2.0,OK,,,
2025-07-24,23271,Conector de Carga iPhone XS Max - Cinza,Manutenção Conector,M. iPhone XS Max,"0,00",2,,DIVERGENTE,não encontrei ,Sim,
2025-07-24,23934,Flex de Conector de Carga para iPhone XS Max Preto,Manutenção Conector,M. iPhone XS Max,"500,00",1,1.0,OK,,,
2025-07-24,24590,Flex de Conector de Carga para iPhone XS Max Cinza,Manutenção Conector,M. iPhone XS Max,"500,00",1,1.0,OK,,,
2025-07-24,23020,Lente de Vidro da Câmera iPhone XS Max - Preto,Manutenção Câmera,M. iPhone XS Max,"250,00",2,2.0,OK,,,
2025-07-24,23941,Câmera Frontal e Sensor para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"400,00",2,2.0,OK,,,
2025-07-24,23942,Câmera Traseira para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"600,00",2,2.0,OK,,,
2025-07-24,24142,Vidro da câmera traseira para iPhone XS Max Dourado,Manutenção Câmera,M. iPhone XS Max,"250,00",2,2.0,OK,,,
2025-07-24,23948,Flex da função power para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"400,00",1,1.0,OK,,,
2025-07-24,23949,Flexivel da função de ajuste de volume para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23953,Motor de função vibratória para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"300,00",2,2.0,OK,,,
2025-07-24,23954,Speaker - iPhone XS,Manutenção Speaker,M. iPhone XS,"600,00",1,1.0,OK,,,
2025-07-24,24899,Flex sensor/ alto falante - iPhone XS,Manutenção Flex do Sensor,M. iPhone XS,"400,00",3,4.0,DIVERGENTE,1 unidade avulso -gerar novo codigo ,Sim,
2025-07-24,23950,Flex de Conector de Carga para iPhone XS Cinza,Manutenção Conector,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23951,Flex de Conector de Carga para iPhone XS Preto,Manutenção Conector,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23011,Lente de Vidro da Câmera iPhone XS - Preto,Manutenção Câmera,M. iPhone XS,"200,00",2,2.0,OK,,,
2025-07-24,23955,Câmera Frontal e Sensor para iPhone XS,Manutenção Câmera,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23956,Câmera Traseira para iPhone XS,Manutenção Câmera,M. iPhone XS,"600,00",2,2.0,OK,,,
2025-07-24,23989,Flex power / volume / vibra / microfone / flash - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"400,00",2,2.0,OK,,,
2025-07-24,23992,Flex motor vibra - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"300,00",2,2.0,OK,,,
2025-07-24,24000,Speaker para iPhone XR,Manutenção Speaker,M. iPhone XR,"400,00",1,1.0,OK,,,
2025-07-24,24901,Flex sensor/ alto falante - iPhone XR,Manutenção Flex do Sensor,M. iPhone XR,"400,00",2,2.0,OK,,,
2025-07-24,24140,Flex conector de carga para iPhone XR Branco,Manutenção Conector,M. iPhone XR,"500,00",1,1.0,OK,,,
2025-07-24,24344,Conector de carga para iPhone XR Preto,Manutenção Conector,M. iPhone XR,"500,00",1,1.0,OK,,,
2025-07-24,23995,Câmera Traseira para iPhone XR,Manutenção Câmera,M. iPhone XR,"500,00",2,2.0,OK,,,
2025-07-24,23997,Câmera Frontal e Sensor para iPhone XR,Manutenção Câmera,M. iPhone XR,"400,00",3,4.0,DIVERGENTE,1 unidade avulso -gerar novo codigo ,Sim,
2025-07-24,25104,Lente de Vidro da Câmera iPhone XR - Avulsa,Manutenção Câmera,M. iPhone XR,"250,00",3,3.0,OK,,,
2025-07-24,23473,Flex sensor/ alto falante - iPhone XR,Manutenção Alto Falante,M. iPhone XR,"0,00",1,,DIVERGENTE,não encontrei /codigo antigo,Sim,
2025-07-24,22487,Flex Volume - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",2,2.0,OK,,,
2025-07-24,22990,Flex Volume/carregador sem fio - iPhone x,Manutenção Vibra / Volume / Power,M. iPhone X,"400,00",2,2.0,OK,,,
2025-07-24,23960,Flex da função power para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"400,00",3,3.0,OK,,,
2025-07-24,23971,Motor de funçao vibratoria para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"300,00",2,2.0,OK,,,
2025-07-24,23973,Speaker - iPhone X,Manutenção Speaker,M. iPhone X,"300,00",2,2.0,OK,,,
2025-07-24,25378,Flex sensor / Alto falante - iPhone X,Manutenção Flex do Sensor,M. iPhone X,"500,00",1,1.0,OK,,,
2025-07-24,23965,Flex de Conector de Carga para iPhone X Cinza,Manutenção Conector,M. iPhone X,"400,00",3,3.0,OK,07605857/ peça é do Xs porem esta com o codigo do X ,,
2025-07-24,23967,Flex de Conector de Carga para iPhone X Preto,Manutenção Conector,M. iPhone X,"400,00",2,2.0,OK,07605832// peça é do Xs porem esta com o codigo do X ,,
2025-07-24,21905,Câmera Traseira - iPhone X,Manutenção Câmera,M. iPhone X,"500,00",2,2.0,OK,,,
2025-07-24,23978,Flex da Câmera Frontal e Sensor para iPhone X,Manutenção Câmera,M. iPhone X,"500,00",3,3.0,OK,,,
2025-07-24,24438,Lente de vidro da Câmera Traseira para iPhone X - Preta,Manutenção Câmera,M. iPhone X,"200,00",1,1.0,OK,,,
2025-07-24,24439,Lente de vidro da Câmera Traseira para iPhone X - Prata,Manutenção Câmera,M. iPhone X,"200,00",3,3.0,OK,,,
2025-07-24,24136,Flex do conector de carga para iPhone SE - Branco,Manutenção Conector,M. iPhone SE,"200,00",3,3.0,OK,,,
2025-07-24,24137,Flex do conector de carga para iPhone SE - Preto,Manutenção Conector,M. iPhone SE,"200,00",2,2.0,OK,,,
2025-07-24,21227,Câmera Traseira - iPhone SE,Manutenção Câmera,M. iPhone SE,"200,00",1,1.0,OK,,,
2025-07-24,24412,Câmera Traseira para iPhone SE,Manutenção Câmera,M. iPhone SE,"200,00",1,1.0,OK,,,
2025-07-24,21915,Flex Power/Volume - iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"400,00",3,3.0,OK,,,
2025-07-24,24122,Motor de função vibratória para iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"300,00",1,1.0,OK,,,
2025-07-24,21913,Speaker - iPhone 8 Plus,Manutenção Speaker,M. iPhone 8 Plus,"300,00",2,2.0,OK,,,
2025-07-24,23985,Flex de Conector de Carga para iPhone 8 Plus Branco,Manutenção Conector,M. iPhone 8 Plus,"300,00",1,1.0,OK,,,
2025-07-24,23988,Flex de Conector de Carga para iPhone 8 Plus Preto,Manutenção Conector,M. iPhone 8 Plus,"300,00",2,2.0,OK,,,
2025-07-24,22002,Lente de Vidro da Câmera iPhone 8 Plus - Rose,Manutenção Câmera,M. iPhone 8 Plus,"200,00",1,1.0,OK,,,
2025-07-24,23981,Câmera Traseira para iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"400,00",2,2.0,OK,,,
2025-07-24,24121,Câmera Frontal e Sensor para iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"400,00",1,1.0,OK,,,
2025-07-24,24436,Lente de vidro da Câmera Traseira para iPhone 8 Plus - Prata,Manutenção Câmera,M. iPhone 8 Plus,"200,00",1,1.0,OK,,,
2025-07-24,21914,Alto-Falante iPhone 8 Plus,Manutenção Alto Falante,M. iPhone 8 Plus,"250,00",2,2.0,OK,,,
2025-07-24,25227,Antena Wi-Fi - iPhone 8,Manutenção Wi-Fi,M. iPhone 8,"250,00",1,1.0,OK,,,
2025-07-24,21923,Flex Power/Volume - iPhone 8/SE 2,Manutenção Vibra / Volume / Power,M. iPhone 8,"300,00",2,2.0,OK,,,
2025-07-24,24120,Motor do Vibra para iPhone 8/SE 2,Manutenção Vibra / Volume / Power,M. iPhone 8,"300,00",2,2.0,OK,,,
2025-07-24,21920,Speaker - iPhone 8/SE 2,Manutenção Speaker,M. iPhone 8,"300,00",2,2.0,OK,,,
2025-07-24,23976,Conector de Carga para iPhone 8 Branco,Manutenção Conector,M. iPhone 8,"300,00",3,3.0,OK,,,
2025-07-24,21918,Câmera Frontal e Sensor de Proximidade - iPhone 8/SE 2,Manutenção Câmera,M. iPhone 8,"0,00",1,,DIVERGENTE,não encontrei ,Sim,
2025-07-24,23970,Câmera Traseira para iPhone 8/SE 2,Manutenção Câmera,M. iPhone 8,"500,00",2,2.0,OK,,,
2025-07-24,23972,Câmera Frontal e Sensor para iPhone 8/SE 2,Manutenção Câmera,M. iPhone 8,"400,00",2,2.0,OK,,,
2025-07-24,24431,Lente de vidro da Câmera Traseira para iPhone 8 - Preta,Manutenção Câmera,M. iPhone 8,"100,00",2,2.0,OK,,,
2025-07-24,21921,Alto-Falante iPhone 8/SE 2,Manutenção Alto Falante,M. iPhone 8,"300,00",2,2.0,OK,,,
2025-07-24,22191,Antena Wi-Fi iPhone 7 Plus,Manutenção Wi-Fi,M. iPhone 7 Plus,"250,00",2,2.0,OK,,,
2025-07-24,21290,Flex Power/Volume - iPhone 7 Plus,Manutenção Vibra / Volume / Power,M. iPhone 7 Plus,"300,00",3,3.0,OK,,,
2025-07-24,23083,Motor do Vibra - iPhone 7 Plus,Manutenção Vibra / Volume / Power,M. iPhone 7 Plus,"300,00",1,1.0,OK,,,
2025-07-24,21316,Speaker - iPhone 7 Plus,Manutenção Speaker,M. iPhone 7 Plus,"250,00",1,1.0,OK,,,
2025-07-24,23943,Flex de Conector de Carga para iPhone 7 Plus Branco,Manutenção Conector,M. iPhone 7 Plus,"300,00",3,3.0,OK,,,
2025-07-24,23945,Flex de Conector de Carga para iPhone 7 Plus Preto,Manutenção Conector,M. iPhone 7 Plus,"300,00",1,1.0,OK,,,
2025-07-24,23938,Câmera Traseira para iPhone 7 Plus,Manutenção Câmera,M. iPhone 7 Plus,"350,00",2,2.0,OK,,,
2025-07-24,23940,Câmera Frontal e Sensor para iPhone 7 Plus,Manutenção Câmera,M. iPhone 7 Plus,"350,00",3,3.0,OK,5537145 / peça do 6s trocar codigo ,,
2025-07-24,24426,Lente de vidro da Câmera Traseira para iPhone 7 Plus - Preta,Manutenção Câmera,M. iPhone 7 Plus,"100,00",1,1.0,OK,,,
2025-07-24,21317,Alto-Falante iPhone 7 Plus,Manutenção Alto Falante,M. iPhone 7 Plus,"250,00",2,2.0,OK,,,
2025-07-24,24421,Antena Wi-fi para iPhone 7,Manutenção Wi-Fi,M. iPhone 7,"0,00",2,2.0,OK,,,
2025-07-24,23189,Motor do Vibra - iPhone 7,Manutenção Vibra / Volume / Power,M. iPhone 7,"150,00",2,2.0,OK,,,
2025-07-24,24119,Flex Power/Volume para iPhone 7,Manutenção Vibra / Volume / Power,M. iPhone 7,"300,00",2,2.0,OK,,,
2025-07-24,21289,Speaker - iPhone 7,Manutenção Speaker,M. iPhone 7,"200,00",1,1.0,OK,,,
2025-07-24,23913,Conector de Carga para iPhone 7 Branco,Manutenção Conector,M. iPhone 7,"300,00",2,2.0,OK,,,
2025-07-24,23936,Conector de Carga para iPhone 7 Preto,Manutenção Conector,M. iPhone 7,"300,00",2,2.0,OK,,,
2025-07-24,23907,Câmera Traseira para iPhone 7,Manutenção Câmera,M. iPhone 7,"350,00",3,3.0,OK,,,
2025-07-24,23909,Câmera frontal e Sensor para iPhone 7,Manutenção Câmera,M. iPhone 7,"350,00",2,2.0,OK,,,
2025-07-24,24422,Lente de Vidro da Câmera traseira para iPhone 7,Manutenção Câmera,M. iPhone 7,"100,00",2,2.0,OK,,,
2025-07-24,21149,Alto-Falante iPhone 7,Manutenção Alto Falante,M. iPhone 7,"250,00",1,1.0,OK,,,
2025-07-24,23918,Vidro e touchscreen com LCD iPhone XS Max - Preto,Manutenção LCD/ Touch,M. iPhone XS Max,"1.200,00",3,3.0,OK,,,
2025-07-24,23590,Vidro e touchscreen com LCD iPhone XS - Preto,Manutenção LCD/ Touch,M. iPhone XS,"1.200,00",2,2.0,OK,,,
2025-07-24,24110,Vidro e touchscreen com LCD iPhone XR - Preto,Manutenção LCD/ Touch,M. iPhone XR,"1.000,00",2,2.0,OK,,,
2025-07-24,23915,Vidro e touchscreen com LCD iPhone X - Preto,Manutenção LCD/ Touch,M. iPhone X,"1.000,00",4,4.0,OK,,,
2025-07-24,26326,Vidro e touchscreen com LCD iPhone SE 3 - Preto,Manutenção LCD/ Touch,M. iPhone SE 3,"700,00",1,1.0,OK,,,
2025-07-24,24101,Vidro e touchscreen com LCD iPhone SE - Branco ,Manutenção LCD/ Touch,M. iPhone SE,"400,00",2,2.0,OK,,,
2025-07-24,24102,Vidro e touchscreen com LCD iPhone SE - Preto ,Manutenção LCD/ Touch,M. iPhone SE,"400,00",2,2.0,OK,,,
2025-07-24,24108,Vidro e touchscreen com LCD iPhone 8 Plus - Branco,Manutenção LCD/ Touch,M. iPhone 8 Plus,"650,00",2,2.0,OK,,,
2025-07-24,24109,Vidro e touchscreen com LCD iPhone 8 Plus - Preto,Manutenção LCD/ Touch,M. iPhone 8 Plus,"650,00",4,4.0,OK,,,
2025-07-24,23910,Vidro e touchscreen com LCD iPhone 8 - Branco,Manutenção LCD/ Touch,M. iPhone 8,"500,00",3,3.0,OK,,,
2025-07-24,24401,Vidro e touchscreen com LCD iPhone 8/SE 2 - Preto,Manutenção LCD/ Touch,M. iPhone 8,"600,00",3,3.0,OK,,,
2025-07-24,23897,Vidro e touchscreen com LCD iPhone 7 Plus - Preto,Manutenção LCD/ Touch,M. iPhone 7 Plus,"550,00",3,4.0,DIVERGENTE,11184624  - N° Divergencia 139984 (Trazer esse codigo para o lab),Sim,
2025-07-24,23906,Vidro e touchscreen com LCD iPhone 7 Plus - Branco,Manutenção LCD/ Touch,M. iPhone 7 Plus,"550,00",2,2.0,OK,,,
2025-07-24,24106,Vidro Touchscreen com LCD para iPhone 7 - Preto,Manutenção LCD/ Touch,M. iPhone 7,"350,00",3,3.0,OK,,,
2025-07-24,24107,Vidro e touchscreen com LCD iPhone 7 - Branco,Manutenção LCD/ Touch,M. iPhone 7,"350,00",2,2.0,OK,,,
2025-07-24,23895,Vidro e touchscreen com LCD iPhone 6S Plus - Branco,Manutenção LCD/ Touch,M. iPhone 6S Plus,"300,00",3,3.0,OK,,,
2025-07-24,24324,Vidro e touchscreen com LCD iPhone 6S Plus - Preto,Manutenção LCD/ Touch,M. iPhone 6S Plus,"300,00",3,3.0,OK,,,
2025-07-24,23893,Vidro e touchscreen com LCD iPhone 6S - Branco,Manutenção LCD/ Touch,M. iPhone 6S,"350,00",3,3.0,OK,,,
2025-07-24,24105,Vidro e touchscreen com LCD iPhone 6S - Preto,Manutenção LCD/ Touch,M. iPhone 6S,"350,00",3,3.0,OK,,,
2025-07-24,24325,Vidro e touchscreen com LCD iPhone 6 Plus - Preto,Manutenção LCD/ Touch,M. iPhone 6 Plus,"300,00",3,3.0,OK,,,
2025-07-24,24326,Vidro e touchscreen com LCD iPhone 6 Plus - Branco,Manutenção LCD/ Touch,M. iPhone 6 Plus,"300,00",3,3.0,OK,,,
2025-07-24,24103,Vidro e touchscreen com LCD iPhone 6 - Preto,Manutenção LCD/ Touch,M. iPhone 6,"250,00",3,3.0,OK,,,
2025-07-24,24104,Vidro e touchscreen com LCD iPhone 6 - Branco,Manutenção LCD/ Touch,M. iPhone 6,"250,00",3,3.0,OK,,,
2025-07-24,3533,Vidro e touchscreen com LCD iPhone 5S - Preto,Manutenção LCD/ Touch,M. iPhone 5S,"250,00",3,3.0,OK,,,
2025-07-24,24100,Vidro e touchscreen com LCD iPhone 5S - Branco,Manutenção LCD/ Touch,M. iPhone 5S,"250,00",1,1.0,OK,,,
2025-07-24,2398,Vidro e touchscreen com LCD iPhone 5 - Branco,Manutenção LCD/ Touch,M. iPhone 5,"200,00",1,1.0,OK,,,
2025-07-24,27718,Vidro e touchscreen com LCD iPhone 16 Pro Max - Preto,Manutenção LCD/ Touch,M. iPhone 16 Pro Max,"4.500,00",1,1.0,OK,,,
2025-07-24,27715,Vidro e touchscreen com LCD iPhone 16 - Preto,Manutenção LCD/ Touch,M. iPhone 16,"3.000,00",1,1.0,OK,,,
2025-07-24,28457,Vidro e touchscreen com LCD iPhone 16 (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 16,"3.000,00",1,1.0,OK,,,
2025-07-24,26842,Vidro e touchscreen com LCD iPhone 15 Pro Max - Preto,Manutenção LCD/ Touch,M. iPhone 15 Pro Max,"3.700,00",1,1.0,OK,,,
2025-07-24,27746,Vidro e touchscreen com LCD iPhone 15 Pro Max (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 15 Pro Max,"3.700,00",2,2.0,OK,,,
2025-07-24,26845,Vidro e touchscreen com LCD iPhone 15 Plus - Preto,Manutenção LCD/ Touch,M. iPhone 15 Plus,"3.000,00",1,1.0,OK,,,
2025-07-24,26844,Vidro e touchscreen com LCD iPhone 15 - Preto,Manutenção LCD/ Touch,M. iPhone 15,"2.500,00",2,2.0,OK,,,
2025-07-24,26185,Vidro e touchscreen com LCD iPhone 14 Pro Max - Preto,Manutenção LCD/ Touch,M. iPhone 14 Pro Max,"3.100,00",3,2.0,DIVERGENTE,falta-11181576,Sim,
2025-07-24,27097,Vidro e touchscreen com LCD iPhone 14 Pro Max (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 14 Pro Max,"3.100,00",2,2.0,OK,,,
2025-07-24,26184,Vidro e touchscreen com LCD iPhone 14 Pro - Preto,Manutenção LCD/ Touch,M. iPhone 14 Pro,"2.800,00",3,3.0,OK,,,
2025-07-24,27098,Vidro e touchscreen com LCD iPhone 14 Pro (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 14 Pro,"2.800,00",3,2.0,DIVERGENTE,Falta-10412134,Sim,
2025-07-24,26183,Vidro e touchscreen com LCD iPhone 14 Plus - Preto,Manutenção LCD/ Touch,M. iPhone 14 Plus,"2.500,00",3,3.0,OK,,,
2025-07-24,27090,Vidro e touchscreen com LCD iPhone 14 Plus (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 14 Plus,"2.500,00",2,2.0,OK,,,
2025-07-24,26182,Vidro e touchscreen com LCD iPhone 14 - Preto,Manutenção LCD/ Touch,M. iPhone 14,"2.000,00",3,2.0,DIVERGENTE,falta-8496292,Sim,
2025-07-24,26979,Vidro e touchscreen com LCD iPhone 14 (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 14,"2.000,00",2,2.0,OK,,,
2025-07-24,25489,Vidro e touchscreen com LCD iPhone 13 Pro Max - Preto,Manutenção LCD/ Touch,M. iPhone 13 Pro Max,"2.700,00",2,2.0,OK,,,
2025-07-24,26768,Vidro e touchscreen com LCD iPhone 13 Pro Max (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 13 Pro Max,"2.700,00",2,2.0,OK,,,
2025-07-24,25488,Vidro e touchscreen com LCD iPhone 13 Pro - Preto,Manutenção LCD/ Touch,M. iPhone 13 Pro,"2.400,00",2,2.0,OK,,,
2025-07-24,26769,Vidro e touchscreen com LCD iPhone 13 Pro (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 13 Pro,"2.400,00",2,2.0,OK,,,
2025-07-24,26366,Vidro e touchscreen com LCD iPhone 13 Mini - Preto,Manutenção LCD/ Touch,M. iPhone 13 Mini,"1.500,00",2,2.0,OK,,,
2025-07-24,25487,Vidro e touchscreen com LCD iPhone 13 - Preto,Manutenção LCD/ Touch,M. iPhone 13,"2.000,00",3,3.0,OK,,,
2025-07-24,26601,Vidro e touchscreen com LCD iPhone 13 (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 13,"2.000,00",3,3.0,OK,,,
2025-07-24,24894,Vidro e touchscreen com LCD iPhone 12 Pro Max - Preto,Manutenção LCD/ Touch,M. iPhone 12 Pro Max,"1.800,00",1,1.0,OK,,,
2025-07-24,26600,Vidro e touchscreen com LCD iPhone 12 Pro Max (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 12 Pro Max,"1.800,00",4,4.0,OK,,,
2025-07-24,24892,Vidro e touchscreen com LCD iPhone 12/12 Pro - Preto,Manutenção LCD/ Touch,M. iPhone 12 Pro,"1.700,00",3,3.0,OK,,,
2025-07-24,26599,Vidro e touchscreen com LCD iPhone 12/12 Pro (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 12 Pro,"1.700,00",2,2.0,OK,,,
2025-07-24,24891,Vidro e touchscreen com LCD iPhone 12 Mini - Preto,Manutenção LCD/ Touch,M. iPhone 12 Mini,"1.300,00",1,1.0,OK,,,
2025-07-24,26978,Vidro e touchscreen com LCD iPhone 12 Mini (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 12 Mini,"1.300,00",1,1.0,OK,,,
2025-07-24,24113,Vidro e touchscreen com LCD iPhone 11 Pro Max - Preto,Manutenção LCD/ Touch,M. iPhone 11 Pro Max,"1.300,00",3,3.0,OK,,,
2025-07-24,26767,Vidro e touchscreen com LCD iPhone 11 Pro Max (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 11 Pro Max,"1.300,00",2,2.0,OK,,,
2025-07-24,24112,Vidro e touchscreen com LCD iPhone 11 Pro - Preto,Manutenção LCD/ Touch,M. iPhone 11 Pro,"1.200,00",2,2.0,OK,,,
2025-07-24,26766,Vidro e touchscreen com LCD iPhone 11 Pro (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 11 Pro,"1.200,00",1,1.0,OK, 10404196 / peça danificada ,,
2025-07-24,24111,Vidro e touchscreen com LCD iPhone 11 - Preto,Manutenção LCD/ Touch,M. iPhone 11,"1.000,00",3,3.0,OK,,,
2025-07-24,26598,Vidro e touchscreen com LCD iPhone 11 (SC) - Preto,Manutenção LCD/ Touch,M. iPhone 11,"1.000,00",3,3.0,OK,,,
2025-07-24,24584,Vidro e touchscreen com LCD iPad Pro 9.7 - Preto,Manutenção LCD/ Touch,iPad Pro 9.7p,"1.600,00",1,1.0,OK,,,
2025-07-24,25018,Vidro e touchscreen com LCD iPad Pro 12.9 (3°/4° Ger) - A1876 / A1895 / A1983 / A2014 / A2069 / A2229 / A2235 / A2233,Manutenção LCD/ Touch,iPad Pro 12.9,"3.200,00",1,1.0,OK,,,
2025-07-24,24469,Vidro e touchscreen com LCD iPad Pro 11 (1°/2° Ger) - A1980 / A1934 / A1979 / A2103 / A2268 / A2228 / A2230 / A2231,Manutenção LCD/ Touch,iPad Pro 11,"3.000,00",1,,DIVERGENTE,não encontrei / está no Mega ,Sim,
2025-07-24,24583,Vidro e touchscreen com LCD iPad Pro 10.5 (A1701/A1709) - Preto,Manutenção LCD/ Touch,iPad Pro 10.5,"2.500,00",1,1.0,OK,,,
2025-07-24,24585,Vidro e touchscreen com LCD iPad Pro 9.7 - Branco,Manutenção LCD/ Touch,iPad New 9.7,"1.600,00",1,1.0,OK,,,
2025-07-24,24888,Vidro e touchscreen com LCD iPad Mini 5 - Preto,Manutenção LCD/ Touch,iPad Mini 5,"1.500,00",1,1.0,OK,,,
2025-07-24,23924,LCD para iPad Mini 2/3,Manutenção LCD/ Touch,iPad Mini,"500,00",1,1.0,OK,,,
2025-07-24,23963,Vidro e touchscreen com LCD iPad Mini 4 - Branco,Manutenção LCD/ Touch,iPad Mini,"1.000,00",1,1.0,OK,,,
2025-07-24,23968,Vidro e touchscreen com LCD iPad Mini 4 - Preto,Manutenção LCD/ Touch,iPad Mini,"1.000,00",1,1.0,OK,,,
2025-07-24,24005,Vidro e touchscreen iPad Mini 1/2 - Preto,Manutenção LCD/ Touch,iPad Mini,"400,00",2,2.0,OK,,,
2025-07-24,24007,Vidro e touchscreen iPad Mini 1/2 - Branco,Manutenção LCD/ Touch,iPad Mini,"400,00",2,2.0,OK,,,
2025-07-24,24011,Vidro e touchscreen iPad mini 3 Branco,Manutenção LCD/ Touch,iPad Mini,"400,00",6,6.0,OK,,,
2025-07-24,24330,LCD para iPad Mini,Manutenção LCD/ Touch,iPad Mini,"400,00",2,2.0,OK,,,
2025-07-24,24454,Vidro e touchscreen iPad Mini 3 - Preta,Manutenção LCD/ Touch,iPad Mini,"400,00",3,3.0,OK,,,
2025-07-24,23926,Vidro e touchscreen com LCD iPad Air 2 - Preto,Manutenção LCD/ Touch,iPad Air 2,"1.200,00",2,2.0,OK,,,
2025-07-24,23958,Vidro e touchscreen com LCD iPad Air 2 - Branco,Manutenção LCD/ Touch,iPad Air 2,"1.200,00",1,1.0,OK,,,
2025-07-24,23998,Vidro e touchscreen iPad Air - Preto,Manutenção LCD/ Touch,iPad Air,"300,00",3,3.0,OK,,,
2025-07-24,24001,Vidro e touchscreen iPad Air - Branco,Manutenção LCD/ Touch,iPad Air,"300,00",2,2.0,OK,,,
2025-07-24,24329,LCD para iPad Air/5,Manutenção LCD/ Touch,iPad Air,"600,00",2,2.0,OK,,,
2025-07-24,25633,Vidro e touchscreen iPad 9 - Preto,Manutenção LCD/ Touch,iPad 9. Manut,"1.200,00",1,1.0,OK,,,
2025-07-24,25634,Vidro e touchscreen iPad 9 - Branco,Manutenção LCD/ Touch,iPad 9. Manut,"1.200,00",1,1.0,OK,,,
2025-07-24,24765,Vidro e touchscreen iPad 8 - Preto,Manutenção LCD/ Touch,iPad 8° Ger. 10.2,"1.000,00",1,1.0,OK,,,
2025-07-24,24768,Vidro e touchscreen iPad 8 - Branco,Manutenção LCD/ Touch,iPad 8° Ger. 10.2,"1.000,00",2,2.0,OK,,,
